Place,1-4,5-8,9-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1999
1,100%,70%,50%,46%,43%,40%,36%,34%,32%,30%,27.0%,25.0%,23.0%,22.0%,21.0%,21.0%,21.0%,21.0%,21.0%,19.0%
2,,30%,30%,26%,23%,21%,20%,20%,20%,20%,18.0%,16.0%,15.0%,13.0%,12.0%,12.0%,12.0%,12.0%,12.0%,11.0%
3,,,20%,16%,13%,12%,12%,12%,12%,12%,11.0%,10.0%,9.0%,8.5%,8.0%,8.0%,8.0%,8.0%,8.0%,7.0%
4,,,,12%,12%,11%,11%,11%,10%,10%,9.0%,8.0%,7.5%,7.0%,6.5%,6.5%,6.5%,6.5%,6.5%,5.5%
5,,,,,9%,9%,9%,8%,8%,8%,7.0%,6.0%,5.5%,5.0%,4.5%,4.0%,4.0%,4.0%,4.0%,4.0%
6,,,,,,7%,7%,6%,6%,6%,5.5%,5.0%,4.5%,4.0%,4.0%,3.5%,3.0%,3.0%,3.0%,3.0%
7,,,,,,,5%,5%,5%,5%,4.5%,4.0%,3.5%,3.0%,3.0%,2.5%,2.5%,2.5%,2.5%,2.5%
8,,,,,,,,4%,4%,4%,3.5%,3.0%,3.0%,2.5%,2.5%,2.0%,2.0%,2.0%,2.0%,2.0%
9,,,,,,,,,3%,3%,2.5%,2.5%,2.0%,2.0%,2.0%,1.5%,1.5%,1.5%,1.5%,1.5%
10,,,,,,,,,,2%,2.0%,1.5%,1.5%,1.5%,1.5%,1.0%,1.0%,1.0%,1.0%,1.0%
11-20,,,,,,,,,,,1.0%,1.0%,0.9%,0.9%,0.8%,0.8%,0.7%,0.7%,0.7%,0.6%
21-30,,,,,,,,,,,,0.9%,0.9%,0.8%,0.8%,0.7%,0.7%,0.6%,0.6%,0.6%
31-40,,,,,,,,,,,,,0.8%,0.8%,0.7%,0.7%,0.6%,0.6%,0.6%,0.5%
41-50,,,,,,,,,,,,,,0.7%,0.7%,0.6%,0.6%,0.5%,0.5%,0.5%
51-60,,,,,,,,,,,,,,,0.6%,0.6%,0.5%,0.5%,0.4%,0.4%
61-70,,,,,,,,,,,,,,,,0.5%,0.5%,0.4%,0.4%,0.3%
71-80,,,,,,,,,,,,,,,,,0.4%,0.4%,0.3%,0.3%
81-90,,,,,,,,,,,,,,,,,,0.3%,0.3%,0.2%
91-100,,,,,,,,,,,,,,,,,,,0.2%,0.2%
101-200,,,,,,,,,,,,,,,,,,,,0.1%
201-300,,,,,,,,,,,,,,,,,,,,,
ITM%,25%,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
